datetime,open,high,low,close,volume
1778039100000,24183.5,24250.85,24164.55,24240.3,5248285
1778039130000,24233.85,24233.85,24202.5,24205.6,3049834
1778039160000,24204.4,24210.9,24195.55,24207.5,2039609
1778039190000,24210.4,24213.4,24203.65,24206.65,1931720
1778039220000,24209.2,24211.8,24204.05,24208.75,1322280
1778039250000,24209.3,24211.0,24197.6,24198.55,1338326
1778039280000,24200.65,24200.65,24179.7,24183.6,1411934
1778039310000,24185.8,24186.25,24177.85,24179.7,991750
1778039340000,24179.2,24180.5,24172.25,24176.1,1220734
1778039370000,24176.75,24182.0,24171.35,24175.8,1254469
1778039400000,24179.2,24192.55,24177.5,24182.4,1132390
1778039430000,24182.85,24185.35,24174.4,24178.3,1011621
1778039460000,24179.3,24184.65,24177.55,24181.05,735490
1778039490000,24181.75,24181.9,24162.3,24163.2,778852
1778039520000,24164.9,24168.5,24156.95,24168.5,1002656
1778039550000,24171.1,24185.15,24168.35,24185.15,984099
1778039580000,24187.35,24198.85,24185.45,24198.2,905471
1778039610000,24198.6,24201.85,24194.65,24200.1,775805
1778039640000,24201.6,24201.95,24183.65,24185.25,768035
1778039670000,24186.65,24189.5,24181.6,24185.2,488574
1778039700000,24186.15,24193.95,24182.8,24193.95,810391
1778039730000,24194.65,24195.3,24187.9,24189.65,773641
1778039760000,24190.9,24193.7,24187.7,24187.85,962764
1778039790000,24189.05,24189.05,24176.6,24179.05,571009
1778039820000,24180.35,24182.55,24177.95,24180.55,484637
1778039850000,24181.65,24183.6,24177.0,24180.1,484535
1778039880000,24182.8,24184.35,24178.95,24179.5,438721
1778039910000,24181.1,24181.1,24168.65,24168.65,524624
1778039940000,24171.4,24172.95,24166.85,24167.55,490717
1778039970000,24168.0,24175.6,24164.95,24171.6,651209
1778040000000,24174.6,24183.7,24173.35,24183.7,898408
1778040030000,24183.35,24185.25,24172.75,24175.15,508248
1778040060000,24174.95,24182.55,24172.25,24180.4,635550
1778040090000,24182.7,24182.7,24164.45,24166.9,562710
1778040120000,24167.9,24172.35,24165.45,24172.35,608975
1778040150000,24173.0,24176.3,24172.3,24174.5,656371
1778040180000,24175.9,24175.9,24171.45,24172.5,686411
1778040210000,24171.8,24174.15,24166.35,24168.0,386309
1778040240000,24166.4,24167.55,24161.95,24165.55,631876
1778040270000,24164.2,24165.55,24161.55,24162.75,509891
1778040300000,24163.75,24166.5,24161.2,24166.15,766979
1778040330000,24166.45,24167.05,24156.1,24158.8,503221
1778040360000,24160.25,24160.25,24155.75,24158.85,1124487
1778040390000,24158.45,24159.05,24153.55,24156.55,523068
1778040420000,24157.5,24160.05,24152.8,24159.35,619845
1778040450000,24158.85,24161.0,24155.1,24159.1,472833
1778040480000,24159.75,24162.1,24158.5,24158.5,368221
1778040510000,24159.65,24161.5,24157.3,24161.4,367991
1778040540000,24161.8,24162.2,24155.5,24156.9,396541
1778040570000,24156.75,24156.95,24150.75,24154.0,256384
1778040600000,24154.5,24155.4,24147.85,24150.15,452569
1778040630000,24148.75,24148.75,24138.55,24142.05,364089
1778040660000,24142.55,24146.05,24140.7,24145.1,342579
1778040690000,24144.75,24151.1,24144.35,24150.3,499219
1778040720000,24151.15,24152.65,24146.8,24152.05,503659
1778040750000,24152.25,24152.85,24145.6,24146.0,393000
1778040780000,24146.45,24146.45,24135.05,24138.8,390369
1778040810000,24140.0,24140.55,24135.95,24136.9,501916
1778040840000,24137.55,24137.55,24131.75,24132.75,447319
1778040870000,24133.85,24140.6,24133.55,24138.45,538726
1778040900000,24139.85,24144.9,24136.45,24139.85,574590
1778040930000,24140.45,24140.45,24133.55,24134.0,331086
1778040960000,24134.8,24140.8,24133.45,24138.2,342832
1778040990000,24137.7,24139.25,24135.6,24138.1,423077
1778041020000,24138.55,24142.0,24136.9,24142.0,431077
1778041050000,24142.15,24144.9,24140.7,24144.05,320708
1778041080000,24144.85,24144.85,24138.45,24140.5,432760
1778041110000,24140.2,24143.95,24138.0,24142.9,409987
1778041140000,24141.5,24142.9,24138.7,24141.6,341900
1778041170000,24140.65,24141.55,24136.25,24136.9,353182
1778041200000,24137.55,24137.55,24126.65,24127.5,448940
1778041230000,24126.0,24126.4,24121.1,24125.6,631145
1778041260000,24126.7,24127.15,24122.8,24127.15,300293
1778041290000,24127.2,24135.25,24127.0,24134.75,780319
1778041320000,24134.8,24134.8,24131.5,24133.6,383636
1778041350000,24133.65,24139.4,24133.65,24138.05,414803
1778041380000,24138.25,24140.5,24134.95,24139.9,448547
1778041410000,24139.35,24140.3,24137.95,24139.9,368670
1778041440000,24140.8,24149.2,24140.2,24149.2,441829
1778041470000,24149.65,24152.3,24148.65,24152.1,382289
1778041500000,24152.75,24154.5,24149.65,24154.5,342301
1778041530000,24156.0,24162.3,24154.4,24161.95,454195
1778041560000,24162.95,24163.8,24158.35,24158.6,507599
1778041590000,24159.25,24160.8,24157.25,24157.8,377796
1778041620000,24157.35,24162.5,24155.05,24162.5,474510
1778041650000,24163.15,24164.6,24160.65,24163.4,462466
1778041680000,24163.85,24165.85,24161.9,24162.45,451871
1778041710000,24162.8,24162.8,24156.25,24156.95,377220
1778041740000,24156.25,24156.85,24142.45,24143.4,492527
1778041770000,24143.6,24144.2,24138.9,24140.3,247008
1778041800000,24140.6,24140.6,24127.55,24129.9,376033
1778041830000,24128.9,24129.35,24125.4,24129.25,334545
1778041860000,24128.5,24133.3,24127.2,24127.2,417613
1778041890000,24130.9,24131.7,24125.65,24128.8,395710
1778041920000,24130.85,24130.85,24122.75,24123.45,411967
1778041950000,24124.75,24124.75,24118.3,24120.85,364943
1778041980000,24121.75,24122.0,24117.7,24118.6,231483
1778042010000,24120.45,24121.15,24111.65,24112.8,322038
1778042040000,24112.55,24112.6,24108.5,24109.05,385897
1778042070000,24108.45,24113.4,24107.35,24110.15,455151
1778042100000,24110.45,24112.0,24109.2,24111.05,273124
1778042130000,24111.4,24111.4,24103.0,24104.05,327799
1778042160000,24105.05,24105.4,24099.55,24101.35,501375
1778042190000,24101.0,24101.0,24096.5,24099.05,319075
1778042220000,24099.65,24101.75,24098.6,24101.5,206121
1778042250000,24101.4,24108.15,24100.05,24106.15,243965
1778042280000,24106.65,24108.65,24104.1,24107.2,300792
1778042310000,24107.1,24107.7,24102.15,24105.95,191102
1778042340000,24105.85,24107.0,24100.1,24101.2,471466
1778042370000,24104.0,24107.0,24100.55,24107.0,242025
1778042400000,24107.1,24107.65,24103.1,24107.65,211278
1778042430000,24109.2,24114.35,24107.5,24113.65,307874
1778042460000,24114.1,24121.2,24112.35,24121.2,335957
1778042490000,24122.15,24122.7,24115.3,24116.7,498503
1778042520000,24117.1,24120.1,24113.15,24116.3,539407
1778042550000,24115.75,24122.4,24115.65,24122.4,363994
1778042580000,24122.55,24132.3,24122.05,24131.45,263984
1778042610000,24130.3,24137.4,24129.6,24136.25,504469
1778042640000,24135.05,24139.9,24131.05,24139.9,536694
1778042670000,24140.75,24141.6,24136.2,24137.3,414433
1778042700000,24137.0,24137.0,24130.15,24131.9,353954
1778042730000,24131.35,24133.55,24129.0,24132.9,358643
1778042760000,24133.15,24133.7,24126.25,24126.5,429701
1778042790000,24126.65,24126.65,24121.75,24125.1,421376
1778042820000,24125.25,24132.95,24124.1,24132.95,448455
1778042850000,24134.1,24138.45,24132.5,24138.45,832987
1778042880000,24138.25,24139.4,24128.9,24131.85,577115
1778042910000,24133.5,24138.85,24132.7,24137.3,587765
1778042940000,24136.7,24138.8,24135.05,24136.4,432901
1778042970000,24137.0,24137.5,24133.25,24137.5,334223
1778043000000,24137.05,24138.65,24134.55,24137.0,630807
1778043030000,24137.25,24146.8,24135.2,24145.7,585354
1778043060000,24146.4,24152.2,24145.35,24152.2,619765
1778043090000,24151.35,24154.85,24151.0,24153.95,489142
1778043120000,24154.0,24155.4,24149.65,24149.95,394871
1778043150000,24150.5,24152.0,24147.8,24152.0,237272
1778043180000,24152.75,24153.65,24150.35,24152.25,318874
1778043210000,24152.35,24154.35,24148.1,24149.4,275834
1778043240000,24149.5,24150.45,24144.0,24144.55,364299
1778043270000,24145.2,24145.35,24141.15,24141.85,382432
1778043300000,24141.5,24142.0,24137.7,24140.25,435820
1778043330000,24140.85,24145.9,24139.8,24145.65,447893
1778043360000,24146.05,24148.4,24144.6,24146.5,384051
1778043390000,24147.55,24148.1,24144.45,24145.6,175156
1778043420000,24145.5,24148.65,24141.85,24145.55,636762
1778043450000,24146.25,24148.0,24144.85,24146.8,338011
1778043480000,24146.45,24147.25,24144.0,24144.85,315432
1778043510000,24146.35,24146.35,24143.3,24145.1,270338
1778043540000,24144.45,24144.45,24137.7,24138.25,455947
1778043570000,24137.7,24139.1,24136.15,24136.4,329284
1778043600000,24135.5,24135.5,24130.25,24131.2,549063
1778043630000,24131.7,24132.85,24126.65,24132.85,308255
1778043660000,24131.85,24137.9,24130.55,24137.9,384968
1778043690000,24138.35,24139.75,24136.3,24139.75,444584
1778043720000,24139.95,24142.2,24139.35,24140.6,694532
1778043750000,24141.15,24144.0,24139.05,24141.65,435796
1778043780000,24141.2,24141.3,24134.25,24136.8,446688
1778043810000,24137.85,24140.1,24136.9,24139.1,239947
1778043840000,24138.1,24138.1,24132.3,24133.9,297085
1778043870000,24133.95,24134.8,24127.3,24128.8,230773
1778043900000,24126.65,24126.65,24111.9,24114.65,542194
1778043930000,24114.75,24122.75,24113.55,24122.35,287747
1778043960000,24123.8,24124.35,24115.5,24119.0,328270
1778043990000,24119.45,24123.05,24118.45,24120.55,273061
1778044020000,24121.1,24121.55,24118.15,24119.85,217438
1778044050000,24121.45,24122.45,24118.4,24122.45,160393
1778044080000,24122.3,24126.35,24121.75,24124.6,261469
1778044110000,24125.25,24125.85,24122.1,24123.65,219705
1778044140000,24124.25,24125.5,24121.15,24123.0,189600
1778044170000,24124.1,24126.2,24120.5,24124.45,266075
1778044200000,24123.7,24129.25,24122.5,24129.25,228840
1778044230000,24130.15,24130.7,24126.5,24128.4,201848
1778044260000,24129.8,24131.65,24126.9,24130.25,254750
1778044290000,24131.7,24137.5,24128.45,24137.15,206126
1778044320000,24136.7,24138.65,24134.35,24137.6,244153
1778044350000,24139.0,24142.85,24138.1,24142.85,347002
1778044380000,24143.1,24145.65,24142.95,24144.6,201344
1778044410000,24145.35,24147.2,24143.55,24147.2,265115
1778044440000,24147.3,24150.15,24143.6,24145.35,283554
1778044470000,24145.3,24146.15,24140.35,24142.85,186582
1778044500000,24142.75,24143.15,24138.55,24140.6,252844
1778044530000,24141.75,24141.75,24133.15,24134.5,507125
1778044560000,24134.3,24135.0,24129.6,24131.3,229802
1778044590000,24132.05,24132.05,24126.25,24127.85,239205
1778044620000,24128.6,24134.6,24127.85,24134.15,252197
1778044650000,24134.55,24137.6,24133.55,24136.45,147548
1778044680000,24134.7,24137.35,24134.45,24136.05,164958
1778044710000,24136.75,24136.75,24130.25,24130.25,191277
1778044740000,24130.15,24130.7,24127.2,24130.7,308524
1778044770000,24131.3,24131.3,24128.0,24129.8,243283
1778044800000,24129.35,24130.5,24124.15,24125.05,345104
1778044830000,24125.8,24125.85,24120.5,24121.8,249819
1778044860000,24121.1,24123.7,24119.9,24120.6,387751
1778044890000,24122.0,24122.0,24110.8,24112.45,495943
1778044920000,24112.0,24112.8,24107.35,24108.05,847836
1778044950000,24108.55,24108.55,24101.0,24105.1,444130
1778044980000,24102.8,24104.55,24098.95,24101.75,386659
1778045010000,24102.25,24102.85,24095.3,24098.7,345577
1778045040000,24098.15,24100.85,24096.75,24097.65,371694
1778045070000,24098.25,24098.25,24091.15,24095.8,599097
1778045100000,24095.7,24110.25,24092.4,24108.6,831477
1778045130000,24107.7,24108.95,24100.05,24103.5,1024301
1778045160000,24103.0,24106.4,24101.85,24105.9,191073
1778045190000,24104.85,24106.05,24100.85,24102.0,188295
1778045220000,24101.2,24101.9,24096.5,24097.85,477716
1778045250000,24098.3,24099.15,24095.0,24096.0,309119
1778045280000,24096.45,24102.45,24095.35,24101.55,202100
1778045310000,24101.5,24102.85,24095.45,24100.55,286371
1778045340000,24099.35,24102.15,24098.6,24100.55,241287
1778045370000,24100.7,24100.7,24093.95,24095.75,316490
1778045400000,24095.95,24096.75,24093.3,24095.05,227653
1778045430000,24095.35,24102.0,24094.05,24101.95,380848
1778045460000,24101.4,24104.55,24101.0,24104.0,330445
1778045490000,24104.35,24104.65,24102.65,24104.35,227365
1778045520000,24103.1,24104.65,24097.1,24097.65,321565
1778045550000,24097.55,24097.55,24092.75,24093.5,333717
1778045580000,24093.0,24093.0,24086.6,24088.2,334275
1778045610000,24088.75,24088.75,24081.95,24082.55,344034
1778045640000,24082.75,24082.75,24074.9,24078.75,663631
1778045670000,24079.25,24079.5,24074.45,24074.5,255456
1778045700000,24074.05,24079.55,24073.2,24079.35,541885
1778045730000,24080.1,24080.4,24078.4,24080.15,229862
1778045760000,24078.9,24083.4,24078.9,24083.4,371040
1778045790000,24085.0,24087.05,24083.05,24087.05,261138
1778045820000,24085.85,24088.6,24083.55,24084.1,318762
1778045850000,24085.0,24091.0,24083.4,24090.9,487796
1778045880000,24090.3,24094.5,24089.85,24094.3,321939
1778045910000,24094.8,24096.35,24092.65,24094.1,249005
1778045940000,24093.65,24098.7,24092.9,24098.65,257833
1778045970000,24098.15,24099.15,24096.1,24098.3,225657
1778046000000,24098.9,24098.9,24093.9,24095.6,195504
1778046030000,24095.85,24096.05,24088.35,24088.95,264491
1778046060000,24088.3,24089.45,24084.8,24087.85,426749
1778046090000,24088.0,24089.75,24081.65,24085.9,482953
1778046120000,24086.3,24087.45,24083.4,24085.5,196501
1778046150000,24085.95,24087.9,24085.4,24086.5,382844
1778046180000,24085.45,24088.05,24085.3,24086.75,284905
1778046210000,24086.9,24092.05,24085.5,24091.95,256554
1778046240000,24090.3,24092.85,24090.1,24091.4,222262
1778046270000,24090.55,24090.55,24086.85,24089.3,250730
1778046300000,24089.15,24089.65,24086.75,24087.75,287173
1778046330000,24088.75,24093.8,24087.1,24093.75,427179
1778046360000,24093.45,24097.55,24092.4,24094.0,296087
1778046390000,24094.2,24095.35,24092.4,24094.3,271342
1778046420000,24094.15,24094.75,24091.5,24094.75,276157
1778046450000,24094.45,24097.35,24092.8,24096.05,248470
1778046480000,24095.05,24099.85,24093.35,24098.95,299746
1778046510000,24099.2,24100.05,24097.9,24100.05,293648
1778046540000,24099.6,24102.55,24097.8,24098.45,437564
1778046570000,24096.85,24096.85,24085.1,24087.05,648368
1778046600000,24084.8,24091.05,24081.55,24091.05,301055
