datetime,open,high,low,close,volume
1780371900000,53384.5,53385.65,53212.2,53229.15,1404024
1780371910000,53212.05,53226.25,53170.55,53171.7,858436
1780371920000,53157.5,53169.6,53135.55,53166.3,584130
1780371930000,53169.1,53204.2,53169.1,53187.25,1240945
1780371940000,53185.8,53185.8,53140.75,53159.4,625213
1780371950000,53165.85,53165.85,53121.85,53138.05,967654
1780371960000,53143.5,53156.75,53134.7,53148.9,462662
1780371970000,53149.35,53174.0,53141.2,53170.15,708087
1780371980000,53177.55,53181.85,53162.05,53168.8,628282
1780371990000,53171.35,53171.35,53155.3,53155.3,545899
1780372000000,53167.0,53176.45,53153.65,53167.35,553836
1780372010000,53169.75,53171.85,53142.4,53151.7,426414
1780372020000,53153.4,53166.9,53148.15,53156.2,678496
1780372030000,53153.7,53155.45,53142.55,53152.45,534797
1780372040000,53147.35,53156.8,53138.1,53156.8,578016
1780372050000,53163.1,53186.2,53163.1,53174.7,1135270
1780372060000,53171.6,53178.85,53165.3,53173.5,829919
1780372070000,53173.9,53188.1,53161.05,53185.45,363086
1780372080000,53190.75,53192.3,53163.55,53163.55,379728
1780372090000,53172.35,53172.35,53153.9,53164.9,278726
1780372100000,53162.8,53175.2,53159.4,53166.05,625395
1780372110000,53166.3,53185.4,53164.8,53185.4,544566
1780372120000,53183.3,53214.15,53181.9,53206.55,467348
1780372130000,53198.45,53218.35,53190.4,53213.05,345651
1780372140000,53217.25,53252.25,53217.25,53248.95,681041
1780372150000,53253.6,53283.15,53253.6,53263.25,917375
1780372160000,53266.45,53280.45,53259.85,53272.6,202043
1780372170000,53273.4,53282.2,53261.1,53264.3,391194
1780372180000,53260.1,53265.45,53248.55,53262.35,464673
1780372190000,53262.55,53288.7,53255.85,53288.7,537212
1780372200000,53292.05,53304.95,53285.9,53287.6,661987
1780372210000,53288.25,53288.25,53261.6,53265.05,256333
1780372220000,53260.5,53265.2,53230.15,53230.15,257920
1780372230000,53228.65,53262.0,53228.65,53259.95,167878
1780372240000,53255.1,53282.5,53255.1,53280.9,934480
1780372250000,53280.5,53280.5,53271.5,53278.45,194311
1780372260000,53280.95,53292.1,53276.15,53284.25,406347
1780372270000,53283.4,53303.65,53279.3,53300.4,472185
1780372280000,53299.45,53307.45,53297.85,53302.2,282529
1780372290000,53299.8,53299.8,53284.05,53297.0,484201
1780372300000,53296.8,53304.15,53295.7,53296.3,175696
1780372310000,53293.65,53308.05,53288.5,53304.55,175445
1780372320000,53307.6,53354.8,53307.6,53354.8,674154
1780372330000,53351.1,53353.35,53312.5,53314.35,512520
1780372340000,53314.55,53319.95,53300.7,53306.45,456695
1780372350000,53307.0,53307.0,53288.45,53290.5,283035
1780372360000,53293.7,53294.95,53278.8,53281.75,141991
1780372370000,53280.9,53287.85,53269.1,53286.3,306075
1780372380000,53290.5,53297.35,53288.35,53297.35,265329
1780372390000,53298.55,53313.0,53298.45,53311.5,192668
1780372400000,53309.0,53319.5,53299.6,53315.7,179822
1780372410000,53317.85,53336.85,53317.85,53332.3,1057798
1780372420000,53333.7,53344.35,53330.3,53344.35,335898
1780372430000,53345.8,53360.75,53345.8,53360.55,169595
1780372440000,53353.65,53358.95,53305.45,53305.45,202402
1780372450000,53307.7,53317.35,53301.05,53317.35,442440
1780372460000,53316.2,53317.7,53304.7,53305.7,287018
1780372470000,53309.75,53334.85,53306.6,53334.85,277762
1780372480000,53333.35,53352.35,53332.2,53340.4,424587
1780372490000,53324.25,53330.85,53320.05,53330.85,1255693
1780372500000,53331.05,53331.05,53315.85,53315.85,602703
1780372510000,53315.5,53319.15,53310.4,53312.65,81849
1780372520000,53309.05,53309.05,53292.35,53300.05,211988
1780372530000,53299.15,53302.65,53291.5,53292.85,219286
1780372540000,53294.05,53294.05,53268.2,53268.2,174495
1780372550000,53270.55,53278.65,53269.6,53278.65,494435
1780372560000,53280.85,53292.45,53268.15,53292.2,434728
1780372570000,53293.25,53305.3,53287.8,53287.8,451135
1780372580000,53287.85,53288.85,53272.35,53272.35,80160
1780372590000,53269.3,53282.8,53267.5,53282.8,162624
1780372600000,53279.95,53286.1,53273.85,53278.1,202559
1780372610000,53278.4,53315.85,53278.4,53315.1,214154
1780372620000,53312.45,53323.0,53312.45,53315.65,97220
1780372630000,53319.85,53319.85,53312.15,53313.5,181341
1780372640000,53315.7,53320.0,53287.6,53290.35,285114
1780372650000,53292.5,53297.0,53288.15,53295.35,205115
