datetime,open,high,low,close,volume
1760327100000,56578.0,56782.0,56578.0,56737.4,54320
1760327280000,56726.4,56746.4,56700.6,56712.6,18060
1760327460000,56711.0,56746.4,56701.0,56730.4,14245
1760327640000,56724.8,56730.0,56656.8,56680.4,20825
1760327820000,56680.2,56689.8,56657.0,56657.0,10430
1760328000000,56654.0,56655.0,56605.0,56605.0,19705
1760328180000,56602.0,56620.8,56590.0,56591.0,14805
1760328360000,56588.0,56642.6,56575.0,56624.4,16730
1760328540000,56636.0,56729.0,56624.4,56715.6,13580
1760328720000,56717.4,56725.0,56687.0,56714.2,4515
1760328900000,56712.8,56760.0,56708.8,56745.0,10395
1760329080000,56745.0,56755.0,56702.8,56716.0,16765
1760329260000,56700.4,56718.4,56683.0,56684.8,8610
1760329440000,56687.6,56735.0,56683.0,56730.0,2485
1760329620000,56737.8,56745.0,56716.6,56745.0,10360
1760329800000,56746.8,56746.8,56690.0,56696.6,3325
1760329980000,56700.2,56706.0,56692.4,56700.0,2835
1760330160000,56699.6,56714.8,56673.2,56710.0,4375
1760330340000,56712.6,56719.0,56700.0,56716.6,2450
1760330520000,56702.8,56725.0,56702.8,56719.6,3605
1760330700000,56718.4,56743.0,56708.0,56726.2,4025
1760330880000,56725.2,56734.0,56712.0,56716.0,2870
1760331060000,56714.2,56725.4,56692.4,56714.0,2520
1760331240000,56719.8,56762.4,56719.8,56755.0,7980
1760331420000,56756.8,56828.0,56755.2,56814.2,20895
1760331600000,56830.0,56849.6,56801.2,56816.0,18445
1760331780000,56813.0,56845.6,56810.0,56844.8,11270
1760331960000,56830.0,56874.0,56830.0,56861.8,17745
1760332140000,56860.0,56879.2,56851.2,56855.8,5110
1760332320000,56867.2,56868.4,56810.2,56815.0,3710
1760332500000,56810.0,56827.6,56786.2,56827.6,6160
1760332680000,56810.2,56845.2,56810.2,56831.2,1715
1760332860000,56831.2,56844.0,56806.0,56810.2,1645
1760333040000,56817.6,56817.6,56748.0,56748.0,5670
1760333220000,56732.0,56806.2,56730.0,56780.2,5915
